,player,Op,NOI,Bat_Avg,Bowl_Avg,Centuries,Fifties,Zeros,Highest_Score,Avg_Bat_SR,Avg_Bowl_SR,FF
0,DJ Malan,New Zealand,21,64.0,27.0,3.0,9.0,0,103.0,146.26,12.0,0
1,DJ Malan,South Africa,6,44.5,0.0,0.0,3.0,0,78.0,134.46,0.0,0
2,DJ Malan,Australia,6,30.0,0.0,0.0,3.0,0,50.0,119.44,0.0,0
3,EJG Morgan,New Zealand,42,32.62,0.0,0.0,6.0,3,91.0,128.17,0.0,0
4,EJG Morgan,South Africa,42,28.92,0.0,0.0,9.0,3,85.0,133.17,0.0,0
5,EJG Morgan,Australia,33,24.7,0.0,0.0,3.0,3,74.0,136.23,0.0,0
6,EJG Morgan,West Indies,36,27.62,0.0,0.0,6.0,0,71.0,106.67,0.0,0
7,EJG Morgan,India,33,31.4,0.0,0.0,6.0,0,71.0,123.57,0.0,0
8,EJG Morgan,Pakistan,36,42.86,0.0,0.0,6.0,0,67.0,120.6,0.0,0
9,EJG Morgan,Sri Lanka,24,33.5,0.0,0.0,3.0,0,57.0,109.62,0.0,0
10,EJG Morgan,Ireland,3,45.0,0.0,0.0,0.0,0,45.0,121.62,0.0,0
11,EJG Morgan,Afghanistan,6,13.5,0.0,0.0,0.0,3,27.0,58.7,0.0,0
12,EJG Morgan,Netherlands,6,6.0,0.0,0.0,0.0,0,6.0,75.0,0.0,0
13,SW Billings,West Indies,6,35.0,0.0,0.0,3.0,0,87.0,148.8,0.0,0
14,SW Billings,Pakistan,9,23.67,0.0,0.0,3.0,0,53.0,140.57,0.0,0
15,SW Billings,Australia,9,13.67,0.0,0.0,0.0,0,29.0,88.59,0.0,0
16,SW Billings,India,9,11.33,0.0,0.0,0.0,3,22.0,117.78,0.0,0
17,SW Billings,New Zealand,24,14.6,0.0,0.0,0.0,3,21.0,92.78,0.0,0
18,SW Billings,South Africa,9,5.0,0.0,0.0,0.0,0,12.0,89.14,0.0,0
19,SW Billings,Sri Lanka,0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0
20,JJ Roy,New Zealand,12,32.5,0.0,0.0,3.0,0,78.0,153.93,0.0,0
21,JJ Roy,South Africa,27,31.89,0.0,0.0,6.0,0,70.0,158.31,0.0,0
22,JJ Roy,Sri Lanka,9,37.0,0.0,0.0,3.0,3,69.0,99.78,0.0,0
23,JJ Roy,India,21,25.86,0.0,0.0,3.0,0,67.0,139.12,0.0,0
24,JJ Roy,Australia,12,18.0,0.0,0.0,0.0,0,44.0,120.21,0.0,0
25,JJ Roy,Pakistan,12,14.75,0.0,0.0,0.0,3,29.0,96.7,0.0,0
26,JJ Roy,West Indies,9,5.0,0.0,0.0,0.0,6,15.0,33.33,0.0,0
27,JJ Roy,Afghanistan,3,5.0,0.0,0.0,0.0,0,5.0,71.42,0.0,0
28,JC Buttler,Sri Lanka,18,47.0,0.0,0.0,6.0,0,73.0,142.75,0.0,0
29,JC Buttler,India,27,20.1,0.0,0.0,3.0,3,69.0,123.14,0.0,0
30,JC Buttler,West Indies,27,22.5,0.0,0.0,3.0,6,67.0,104.53,0.0,0
31,JC Buttler,Australia,27,22.22,0.0,0.0,3.0,3,61.0,123.96,0.0,0
32,JC Buttler,South Africa,33,26.73,0.0,0.0,6.0,0,57.0,149.12,0.0,0
33,JC Buttler,New Zealand,24,25.14,0.0,0.0,3.0,0,54.0,128.73,0.0,0
34,JC Buttler,Pakistan,18,11.33,0.0,0.0,0.0,0,33.0,89.94,0.0,0
35,JC Buttler,Afghanistan,6,10.5,0.0,0.0,0.0,0,15.0,137.14,0.0,0
36,JC Buttler,Netherlands,3,6.0,0.0,0.0,0.0,0,6.0,42.85,0.0,0
37,MM Ali,Australia,12,0.0,30.5,0.0,3.0,3,72.0,156.52,15.0,0
38,MM Ali,Afghanistan,6,0.0,17.0,0.0,0.0,0,41.0,124.24,12.0,0
39,MM Ali,South Africa,42,13.6,33.4,0.0,0.0,3,39.0,131.12,24.0,0
40,MM Ali,New Zealand,9,18.0,17.0,0.0,0.0,0,36.0,156.52,18.0,0
41,MM Ali,Sri Lanka,15,9.0,0.0,0.0,0.0,3,27.0,122.72,0.0,0
42,MM Ali,Pakistan,18,6.5,38.0,0.0,0.0,6,13.0,28.89,33.0,0
43,MM Ali,West Indies,15,3.75,38.0,0.0,0.0,3,7.0,120.36,24.0,0
44,MM Ali,India,27,2.25,34.75,0.0,0.0,3,6.0,47.92,26.0,0
45,MM Ali,Netherlands,6,3.0,0.0,0.0,0.0,0,3.0,42.85,0.0,0
46,JM Bairstow,West Indies,18,20.75,0.0,0.0,3.0,0,68.0,118.33,0.0,0
47,JM Bairstow,South Africa,21,35.43,0.0,0.0,6.0,0,64.0,157.4,0.0,0
48,JM Bairstow,Pakistan,9,85.0,0.0,0.0,3.0,0,60.0,90.9,0.0,0
49,JM Bairstow,New Zealand,24,17.75,0.0,0.0,0.0,3,47.0,129.57,0.0,0
50,JM Bairstow,India,15,14.0,0.0,0.0,0.0,3,28.0,82.66,0.0,0
51,JM Bairstow,Australia,3,0.0,0.0,0.0,0.0,0,14.0,175.0,0.0,0
52,JM Bairstow,Afghanistan,3,12.0,0.0,0.0,0.0,0,12.0,240.0,0.0,0
53,JM Bairstow,Sri Lanka,3,1.0,0.0,0.0,0.0,0,2.0,100.0,0.0,0
54,JM Vince,New Zealand,15,24.0,0.0,0.0,3.0,0,59.0,99.75,0.0,0
55,JM Vince,Pakistan,12,40.25,0.0,0.0,0.0,0,46.0,126.94,0.0,0
56,JM Vince,Afghanistan,3,22.0,0.0,0.0,0.0,0,22.0,122.22,0.0,0
57,JM Vince,Australia,3,21.0,0.0,0.0,0.0,0,21.0,100.0,0.0,0
58,JM Vince,Sri Lanka,3,16.0,0.0,0.0,0.0,0,16.0,114.28,0.0,0
59,BA Stokes,South Africa,36,20.0,29.8,0.0,0.0,0,47.0,125.71,21.6,0
60,BA Stokes,India,24,20.0,50.5,0.0,0.0,0,38.0,101.61,39.0,0
61,BA Stokes,West Indies,24,10.5,0.0,0.0,0.0,3,31.0,118.31,0.0,0
62,BA Stokes,Sri Lanka,9,32.0,0.0,0.0,0.0,0,26.0,348.14,0.0,0
63,BA Stokes,New Zealand,15,16.5,15.2,0.0,0.0,0,24.0,182.3,12.0,0
64,BA Stokes,Afghanistan,6,7.0,28.0,0.0,0.0,0,7.0,87.5,18.0,0
65,BA Stokes,Australia,12,6.0,65.0,0.0,0.0,0,5.0,112.5,42.0,0
66,BA Stokes,Pakistan,6,4.0,0.0,0.0,0.0,0,4.0,57.14,0.0,0
67,CR Woakes,Pakistan,12,52.0,22.0,0.0,0.0,0,37.0,184.22,16.0,0
68,CR Woakes,Australia,12,0.0,31.5,0.0,0.0,0,19.0,155.0,21.0,0
69,CR Woakes,Sri Lanka,12,9.0,62.0,0.0,0.0,0,7.0,88.88,42.0,0
70,CR Woakes,India,6,0.0,43.0,0.0,0.0,3,0.0,0.0,24.0,0
71,CR Woakes,New Zealand,3,0.0,0.0,0.0,0.0,0,,0.0,0.0,0
72,CJ Jordan,New Zealand,39,11.33,23.11,0.0,0.0,0,36.0,284.56,16.48,0
73,CJ Jordan,West Indies,30,9.0,18.1,0.0,0.0,0,27.0,159.34,13.8,3
74,CJ Jordan,Australia,21,27.0,20.83,0.0,0.0,0,16.0,109.59,15.0,0
75,CJ Jordan,South Africa,51,5.5,29.83,0.0,0.0,6,16.0,132.85,17.72,0
76,CJ Jordan,Afghanistan,6,15.0,27.0,0.0,0.0,0,15.0,83.33,24.0,0
77,CJ Jordan,Netherlands,6,14.0,13.0,0.0,0.0,0,14.0,100.0,18.0,0
78,CJ Jordan,Sri Lanka,21,1.75,13.08,0.0,0.0,0,5.0,162.5,10.0,3
79,CJ Jordan,India,30,0.6,34.33,0.0,0.0,9,3.0,25.0,23.44,0
80,CJ Jordan,Pakistan,15,0.0,133.0,0.0,0.0,3,0.0,0.0,78.0,0
81,T Banton,New Zealand,9,18.67,0.0,0.0,0.0,0,31.0,170.0,0.0,0
82,JL Denly,West Indies,12,10.67,21.0,0.0,0.0,0,30.0,68.38,15.0,0
83,JL Denly,Pakistan,12,13.0,0.0,0.0,0.0,0,20.0,83.33,0.0,0
84,JL Denly,Sri Lanka,6,20.0,4.75,0.0,0.0,0,20.0,117.64,6.0,3
85,JL Denly,South Africa,15,4.5,9.0,0.0,0.0,3,14.0,56.25,6.0,0
86,JL Denly,Australia,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0
87,DJ Willey,India,18,33.0,28.33,0.0,0.0,0,29.0,97.78,22.0,0
88,DJ Willey,West Indies,30,9.0,11.8,0.0,0.0,0,21.0,90.28,10.2,3
89,DJ Willey,New Zealand,21,9.25,27.0,0.0,0.0,0,21.0,203.33,17.0,0
90,DJ Willey,Afghanistan,6,0.0,11.5,0.0,0.0,0,20.0,117.64,12.0,0
91,DJ Willey,Pakistan,21,6.33,40.0,0.0,0.0,0,12.0,110.0,26.0,0
92,DJ Willey,Australia,18,3.25,17.57,0.0,0.0,0,10.0,108.33,12.43,0
93,DJ Willey,South Africa,24,2.0,52.67,0.0,0.0,3,7.0,83.33,36.0,0
94,DJ Willey,Sri Lanka,3,0.0,13.0,0.0,0.0,0,,0.0,12.0,0
95,SM Curran,New Zealand,24,7.0,25.5,0.0,0.0,0,24.0,133.84,18.0,0
96,LS Livingstone,South Africa,6,8.0,0.0,0.0,0.0,3,16.0,44.44,0.0,0
97,L Gregory,New Zealand,15,4.2,29.0,0.0,0.0,3,15.0,133.33,24.0,0
98,TK Curran,New Zealand,21,6.5,28.4,0.0,0.0,0,14.0,136.67,19.2,0
99,TK Curran,Australia,9,3.0,0.0,0.0,0.0,0,6.0,300.0,0.0,0
100,TK Curran,West Indies,18,1.5,18.2,0.0,0.0,0,2.0,75.0,12.0,3
101,TK Curran,South Africa,24,1.0,17.4,0.0,0.0,3,2.0,75.0,11.4,0
102,TK Curran,Sri Lanka,3,0.0,0.0,0.0,0.0,0,,0.0,0.0,0
103,TK Curran,Pakistan,3,0.0,28.0,0.0,0.0,0,,0.0,24.0,0
104,JW Dernbach,India,18,2.4,22.43,0.0,0.0,0,12.0,171.42,15.81,3
105,JW Dernbach,Australia,21,1.2,28.29,0.0,0.0,0,5.0,87.5,16.29,0
106,JW Dernbach,West Indies,27,0.67,45.4,0.0,0.0,0,3.0,87.5,31.2,0
107,JW Dernbach,Sri Lanka,12,1.0,34.0,0.0,0.0,0,2.0,100.0,22.0,0
108,JW Dernbach,New Zealand,18,0.0,18.88,0.0,0.0,3,0.0,0.0,13.5,0
109,JW Dernbach,Pakistan,9,0.0,17.0,0.0,0.0,0,,0.0,16.5,0
110,JW Dernbach,South Africa,12,0.0,33.67,0.0,0.0,0,,0.0,22.0,0
111,JW Dernbach,Afghanistan,3,0.0,8.0,0.0,0.0,0,,0.0,7.0,0
112,LA Dawson,New Zealand,6,10.0,27.0,0.0,0.0,0,10.0,333.33,24.0,0
113,LA Dawson,South Africa,9,7.0,55.0,0.0,0.0,0,7.0,140.0,48.0,0
114,LA Dawson,Sri Lanka,3,0.0,9.0,0.0,0.0,0,,0.0,8.0,0
115,LA Dawson,India,3,0.0,0.0,0.0,0.0,0,,0.0,0.0,0
116,LA Dawson,Australia,3,0.0,0.0,0.0,0.0,0,,0.0,0.0,0
117,AU Rashid,South Africa,42,2.5,39.5,0.0,0.0,3,9.0,60.59,28.0,0
118,AU Rashid,New Zealand,30,3.8,32.71,0.0,0.0,0,8.0,144.44,23.14,0
119,AU Rashid,Sri Lanka,12,1.67,22.33,0.0,0.0,0,5.0,166.66,20.0,0
120,AU Rashid,West Indies,27,0.83,11.27,0.0,0.0,0,4.0,75.0,10.91,0
121,AU Rashid,India,21,1.0,44.33,0.0,0.0,3,4.0,133.33,34.0,0
122,AU Rashid,Pakistan,18,0.6,33.0,0.0,0.0,0,3.0,150.0,30.0,0
123,AU Rashid,Australia,15,0.25,30.75,0.0,0.0,0,1.0,25.0,22.5,0
